variable,label
dr2tp182,PFA 18:2 (Octadecadienoic) (gm)
dr2tp183,PFA 18:3 (Octadecatrienoic) (gm)
dr2tp184,PFA 18:4 (Octadecatetraenoic) (gm)
dr2tp204,PFA 20:4 (Eicosatetraenoic) (gm)
dr2tp205,PFA 20:5 (Eicosapentaenoic) (gm)
dr2tp225,PFA 22:5 (Docosapentaenoic) (gm)
dr2tp226,PFA 22:6 (Docosahexaenoic) (gm)
dr2_300,Compare food consumed yesterday to usual
dr2_320,Total plain water drank yesterday (gm)
dr2_330,Total tap water drank yesterday (gm)
dr2bwatr,Total bottled water drank yesterday (gm)
dr2cwatr,Plain carbonated water (gm)
dr2tws,Tap water source
imd010,Received hepatitis A vaccine
lbdglusi,Plasma glucose: SI(mmol/L)
lbdinsi,Insulin: SI(pmol/L)
lbxpt21,Parathyroid Hormone(Elecys method) pg/mL
lbxtc,Total Cholesterol( mg/dL)
lbxhdd,Direct HDL-Cholesterol (mg/dL)
lbdtcsi,Total Cholesterol( mmol/L)
lbdhddsi,Direct HDL-Cholesterol (mmol/L)
lbxwbcsi,White blood cell count (1000 cells/uL)
lbxrbcsi,Red blood cell count (million cells/uL)
lbxpltsi,Platelet count SI (1000 cells/uL)
lbxsatsi,Alanine aminotransferase ALT (U/L)
lbxsassi,Aspartate aminotransferase AST (U/L)
lbxsca,Total calcium (mg/dL)
lbdscasi,Total calcium (mmol/L)
lbxsgtsi,Gamma glutamyl transferase (U/L)
lbxsir,"Iron, refigerated (ug/dL)"
lbdsirsi,"Iron, refigerated (umol/L)"
lbxsldsi,Lactate dehydrogenase LDH (U/L)
lbxstb,Total bilirubin (mg/dL)
lbxsossi,Osmolality (mmol/Kg)
mcq149,Menstrual periods started yet?
mcq160m,Ever told you had a thyroid problem
mcq170m,Do you still have a thyroid problem
mcq180m,Age when told you had a thyroid problem
mcq265,Blood relative have/had prostate cancer
mcq267a,Biological family member-father
mcq267b,Biological family member-mother's father
mcq267c,Biological family member-father's father
mcq267d,Biological family member-brother
mcq267e,Biological family member-other
paaquex, Questionnaire source flag for weighting
smd641,# days smoked cigs during past 30 days
smd650,Avg # cigarettes/day during past 30 days
smd093,May I please see the pack of cigarettes
smq140,Do you now smoke a pipe
smq200,Do you now use snuff
smq230,Do you now use chewing tobacco
smd430,Total # of cigarettes smoked in home
smd440,Total # of cigars smoked in home
smd450,Total # of pipes smoked in home
smq800,#days used chewing tobacco -last 5 days
whd010,Current self-reported height (inches)
whd020,Current self-reported weight (pounds)
bpq050a,Now taking prescribed medicine for HBP
lbdlymno,Lymphocyte number (1000 cells/uL)
lbdmono,Monocyte number (1000 cells/uL)
lbdneno,Segmented neutrophils num (1000 cell/uL)
lbdeono,Eosinophils number (1000 cells/uL)
lbdbano,Basophils number (1000 cells/uL)
dbd072a,Type of milk first fed-whole milk
dbd072b,Type of milk first fed-2% milk
dbd072c,Type of milk first fed-1% milk
dbd072d,Type of milk first fed-fat free milk
dbd072u,Type of milk first fed - other
dbq700,How healthy is the diet
dbq197,Past 30 day milk product consumption
dbd222a,You drink whole or regular milk
dbd222b,You drink 2% fat milk
dbd222c,You drink 1% fat milk
dbd222d,You drink fat-free or skim milk
dbd222u,You drink another type of milk
dbq229,Regular milk use 5 times per week
dbd091,# of times/wk eat meals not from a home
dbq720,Heard of dietary guidelines?
dbq730,Heard of food guide pyramid?
dbq740,Heard about 5-a-day program?
dbq750,Use nutrition facts panel on food label
dbq760,Use ingredients list on food label
dbq770,Use serving size info on food label
dbq780,Use health claims on food packages
dbq790,Check calories on food label
dbq800,Check calories from fat on food label
dbq810,Check total fat on food label
dbq820,Check trans fat on food label
dbq830,Check saturated fat on food label
dbq840,Check cholesterol on food label
dbq850,Check sodium on food label
dbq860,Check carbohydrates on food label
dbq870,Check fiber on food label
dbq880,Check sugars on food label
dbq890,Are people born to be fat/thin
dmdfmsiz,Total number of people in the Family
did040,Age when first told you had diabetes
diq220,When was your diabetes diagnosed
diq160,Ever told you have prediabetes
diq170,Ever told have health risk for diabetes
diq180,Had blood tested past three years
diq190a,Past yr told control weight
diq190b,Past yr told increase physical activity
diq190c,Past yr told reduce fat/calories in diet
diq200a,Are you controlling weight
diq200b,Are you increasing physical activity
diq200c,Are you reducing fat/calories in diet
did060,How long taking insulin
did070,Take diabetic pills to lower blood sugar
diq230,How long ago saw a diabetes specialist
diq240,Is there one Dr you see for diabetes
did250,Past year how many times seen doctor
did260,How often check blood for glucose/sugar
diq260u,Unit of measure (day/week/month/year)
did270,Past year times checked for A1C
diq280,What was your last A1C level
diq290,What does Dr say A1C should be
diq300s,What was your recent SBP
diq300d,What was your recent DBP
did310s,What does Dr say SBP should be
did310d,What does Dr say DBP should be
did320,What was most recent LDL number
did330,What does Dr say LDL should be
did340,Past year times Dr check feet for sores
did350,How often do you check your feet
diq350u,Unit of measure (day/week/month/year)
diq360,Last time had pupils dilated for exam
dr1lang,Language respondent used mostly
dbq095z,Type of table salt used
drqsdt1,Weight loss/Low cal/Low carb/Hi pro diet
drqsdt2,Low fat/Low cholesterol diet
drqsdt3,Low salt/Low sodium diet
drqsdt4,Sugar free/Low sugar diet
drqsdt8,Weight gain/Muscle building diet
dr1tnumf,Number of foods reported
dr1tfola,Total folate (mcg)
dr1tchl,Total choline (mg)
dr1_320z,Total plain water drank yesterday (gm)
dr1_330z,Total tap water drank yesterday (gm)
dr1bwatz,Total bottled water drank yesterday (gm)
dr2lang,Language respondent used mostly
dr2tnumf,Number of foods reported
dr2tfola,Total folate (mcg)
dr2tchl,Total choline (mg)
dr2_320z,Total plain water drank yesterday (gm)
dr2_330z,Total tap water drank yesterday (gm)
dr2bwatz,Total bottled water drank yesterday (gm)
whq030e,How do you consider your weight
mcq080e,Doctor told you that {SP} was overweight
ecq150,Doing anything to help control weight?
lbxglu,Fasting Glucose (mg/dL)
lbdglusi,Fasting Glucose (mmol/L)
lbxin,Insulin (uU/mL )
lbdinsi,Insulin (pmol/L)
lbdhdd,Direct HDL-Cholesterol (mg/dL)
imq011,Received hepatitis A vaccine
mcq240dk,How old when cancer first diagnosed?
mcq268a,Biological family members - father
mcq268b,Biological family member-mother's father
mcq268c,Biological family member-father's father
mcq268d,Biological family member - brother
mcq300a,Close relative had heart attack?
mcq300b,Close relative had asthma?
mcq300c,Close relative had diabetes?
mcq310,Ever have blood test to check PSA?
mcq320,Age when first had PSA test
mcd330,How long ago was last PSA test?
mcq340,How many PSA tests in past 5 years?
mcq350,Ever told PSA test was not normal?
wtsog2yr,OGTT Subsample 2 Year MEC Weight
lbxglt,Two Hour Glucose(OGTT) (mg/dL)
lbdgltsi,Two Hour Glucose(OGTT) (mmol/L)
smq077,How soon after waking do you smoke
smaquex2,Questionnaire Mode Flag
smd410,Does anyone smoke in home?
smd415,Total # of smokers in home
smq725,When did resp. smoke last cigarette?
smq755,When did resp. smoke last pipe?
smq785,When did resp. smoke last cigar?
smq815,When did resp. last use chewing tobacco?
lbxapb,Apolipoprotein (B) (mg/dL)
lbdapbsi,Apolipoprotein (B) (g/L)
whd050,Self-reported weight - 1 yr ago (pounds)
whd080a,Ate less to lose weight
whd080c,Ate less fat to lose weight
whd080j,Took non-RX suppl. to lose weight
whd080o,Ate fewer carbohydrates
whd080p,Started to smoke or began to smoke again
whd080q,"Ate more fruits, vegetables, salads"
whd080r,Changed eating habits
whd080s,"Ate less sugar, candy, sweets"
whq270,Seek help from a health professional
whq280a,Personal trainer
whq280b,Dietitian
whq280c,Nutritionist
whq280d,Doctor
whq280e,Other health professional
whd100g,Used liquid diet formula
whd100o,Ate fewer carbohydrates
whd100p,Started to smoke or began to smoke again
whd100q,"Ate more fruits, vegetables, salads"
whd100r,Changed eating habits
whd100s,"Ate less sugar, candy, sweets"
whq210,Have you/Has SP ever tried to lose weigh
whd220,Weight loss most successful (pounds)
whd120,Self-reported weight-age 25 (pounds)
whd140,Self-reported greatest weight (pounds)
whq030m,How do you consider your weight
whq500,Trying to do about weight
whq510a,Want to look better
whq510b,Want to be healthier
whq510c,Want to be better at sports
whq510d,Get teased about my weight
whq510e,Think my clothes will fit better
whq510f,Think boys will like me better
whq510g,Think girls will like me better
whq510h,Friends are trying to lose weight
whq510i,Someone in family trying to lose weight
whq510j,Mother/father wants me to lose weight
whq510k,Teacher/coach wants me to lose weight
whq510l,Health professional wants me lose weight
whq510m,Want to be skinny/don't want to be fat
whq510n,Want to feel good/better about self
whq510o,Because I'm fat/overweight
whq510u,Other reason
whq520,How often tried to lose weight
whq530,Been on a diet to lose weight
whq540,Starved to lose weight
whq550,Cut back on eating to lose weight
whq560,Skipped meals to lose weight
whq570,Exercised to lose weight
whq580,Eaten less sweets or fatty foods
lbxsatsi,Alanine aminotransferase (ALT) (U/L)
lbxsassi,Asparate aminotransferase (AST) (U/L)
lbdscrsi,Creatinine (µmol/L)
bpd035,Age told had hypertension
bpq052,Told have Prehypertension
bpq057,Borderline Hypertension
lbxpltsi,Platelet count (1000 cells/uL)
dbd072a,Type of milk first fed - whole milk
dbd072b,Type of milk first fed - 2% milk
dbd072c,Type of milk first fed - 1% milk
dbd072d,Type of milk first fed - fat free milk
dbd080,Age started eating solid foods (days)
dbd222d,You drink fat free/skim milk
dbd895,# of meals not home prepared
dbd900,# of meals from fast food or pizza place
dbd905,# of ready-to-eat foods in past 30 days
dbd910,# of frozen meals/pizza in past 30 days
dbq915,Self-perceived vegetarian
dbq920,Having food allergies
dbq925a,Allergic to wheat
dbq925b,Allergic to cow's milk
dbq925c,Allergic to eggs
dbq925d,Allergic to fish
dbq925e,Allergic to shellfish
dbq925f,Allergic to corn
dbq925g,Allergic to peanut
dbq925h,Allergic to other nuts
dbq925i,Allergic to soy products
dbq925j,Allergic to other foods
dbq930,Main meal planner/preparer
dbq935,Shared meal planning/preparing duty
dbq940,Main food shopper
dbq945,Shared food shopping duty
ridagemn,Age in Months at Screening - Recode
ridageex,Age in Months at Exam - Recode
dmqmilit,Served in the US Armed Forces
dmdborn2,Country of Birth - Recode
indhhin2,Annual Household Income
indfmin2,Annual Family Income
indfmpir,Ratio of family income to poverty
dmdhrbr2,HH Ref Person Country of Birth
dr1dbih,# of days b/w intake and HH interview
drqsdt1,Weight loss/Low calorie diet
drqsdt9,Low carbohydrate diet
drqsdt10,High protein diet
dr1tvd,Vitamin D (D2 + D3) (mcg)
dr2dbih,# of days b/w intake and HH interview
dr2tvd,Vitamin D (D2 + D3) (mcg)
whq030e,How do you consider {SP} weight
imq040,Received HPV vaccine
imq045,"Received HPV, # of doses"
mcq051,Dr. prescribed medication for asthma?
mcq160n,Doctor ever told you that you had gout?
mcq180n,Age when told you had gout
mcq240dk,Age unknown cancer first diagnosed
gtdscmmn,Glucose challenge Administer Time in min
gtddr1mn,Time from fast glucose & challenge (min)
gtdbl2mn,Time from fasting glucose & OGTT (min)
gtddr2mn,Time from glucose challenge & OGTT(min)
gtxdrank,Amount of glucose challenge drank
gtdcode,Incomplete OGTT Comment Code
paq560,Times per week play or exercise hard
pad590,Hours watch TV or videos past 30 days
pad600,Hours use computer past 30 days
paq605,Vigorous work activity
paq610,Days vigorous work
pad615,Minutes vigorous-intensity work
paq620,Moderate work activity
paq625,Number of days moderate work
pad630,Minutes moderate-intensity work
paq635,Walk or bicycle
paq640,Number of days walk or bicycle
pad645,Minutes walk/bicycle for transportation
paq650,Vigorous recreational activities
paq655,Days vigorous recreational activities
pad660,Minutes vigorous recreational activities
paq665,Moderate recreational activities
paq670,Days moderate recreational activities
pad675,Minutes moderate recreational activities
pad680,Minutes sedentary activity
smd410,Does anyone smoke inside home?
smd415,Total # of smokers inside home
smd415a,Total # cigarette smokers inside home
smd430,Total # cigarettes smoked inside home
lbxtc,Total Cholesterol (mg/dL)
lbxatg,Thyroglobulin antibodies (IU/mL)
lbxt3f,"Triiodothyronine (T3), free  (pg/mL)"
lbxt4f,"Thyroxine, free (ng/dL)"
lbdt4fsi,"Thyroxine, free (pmol/L)"
lbxtgn,Thyroglobulin (ng/mL)
lbdtgnsi,Thyroglobulin (ug/L)
lbxtsh1,Thyroid stimulating hormone (uIU/mL)
lbdtsh1s,Thyroid stimulating hormone (mIU/L)
lbxtpo,Thyroid peroxidase antibodies (IU/mL)
lbxtt3,"Triiodothyronine (T3), total (ng/dL)"
lbdtt3si,"Triiodothyronine (T3), total (nmol/L)"
lbxtt4,"Thyroxine, total (T4) (ug/dL)"
whd045,How much would like to weigh (pounds)
whq210,Ever tried to lose weight
whq510p,Want to be skinny/because I'm overweight
alq010,Age when first drank alcohol
ald020,# days drank alcohol over lifetime
ald030,# days drank alcohol over past 30 days
ald040,# days w/5 or more drinks/past 30 days
lbxsldsi,Lactate dehydrogenase (U/L)
lbdstbsi,Total bilirubin (umol/L)
bpq056,Take blood pressure at home last 12 mos?
bpd058,How often checked BP at home last 12 mos
bpq059,Doctor tell you to take BP at home?
bpxsy1,Systolic: Blood pres (1st rdg) mm Hg
bpxdi1,Diastolic: Blood pres (1st rdg) mm Hg
bpxsy2,Systolic: Blood pres (2nd rdg) mm Hg
bpxsy3,Systolic: Blood pres (3rd rdg) mm Hg
dbd041,Age first fed formula(days)
dbd055,Age started other than breastmilk/fomula
dbd061,Age first fed milk(days)
dbq073a,Type of milk first fed - whole milk
dbq073b,Type of milk first fed - 2% milk
dbq073c,Type of milk first fed - 1% milk
dbq073d,Type of milk first fed - fat free milk
dbq073e,Type of milk first fed - soy milk
dbq073u,Type of milk first fed - other
dbq223a,You drink whole or regular milk
dbq223b,You drink 2% fat milk
dbq223c,You drink 1% fat milk
dbq223d,You drink fat free/skim milk
dbq223e,You drink soy milk
dbq223u,You drink another type of milk
did341,Past year times Dr check feet for sores
drqsdt11,Gluten-free/Celiac diet
drqsdt12,Renal/Kidney diet
imq011,Received Hepatitis A vaccine
imq020,Received Hepatitis B 3 dose series
mcq070,Ever been told you have psoriasis?
mcq082,Ever been told you have celiac disease?
mcq086,Are you on a gluten-free diet?
mcq191,Which type of arthritis was it?
gtddr1mn,Time from fast glucose & challenge(min)
paq706,Days physically active at least 60 min
smq830,# days used nicotine quit smoking aids?
smq840,When Last used nicotine quit smoking aid
lbdtcsi,Total Cholesterol (mmol/L)
wtsa2yr,Two-year A subsample weights
lbxt3f,"Triiodothyronine (T3), free (pg/mL)"
lbxtpo,Thyroid perioxidase antibodies (IU/mL)
lbdldl,LDL-cholesterol
whd080t,Ate less junk food or fast food
whd100h,Joined program to not gain weight
whd100t,Ate less junk food or fast food
alq130,Avg # alcoholic drinks/day - past 12 mos
alq141q,# days have 4/5 drinks - past 12 mos
alq141u,"# days per week, month, year?"
alq151,Ever have 4/5 or more drinks every day?
alq155,How many years did you drink every day?
lbxsck,Creatine Phosphokinase(CPK) (IU/L)
bmdbmic,BMI Category - Children/Adolescents
bmxsad1,Sagittal Abdominal Diameter 1st (cm)
bmxsad2,Sagittal Abdominal Diameter 2nd (cm)
bmxsad3,Sagittal Abdominal Diameter 3rd (cm)
bmxsad4,Sagittal Abdominal Diameter 4th (cm)
bmdavsad,Average Sagittal Abdominal Diameter (cm)
bmdsadcm,Sagittal Abdominal Diameter Comment
bpaarm,Arm selected
bpxpls,60 sec. pulse (30 sec. pulse * 2)
bpxpty,Pulse type
bpxdi4,Diastolic: Blood pres (4th rdg) mm Hg
cbq595,Heard of MyPyramid
cbq600,Heard of Food Pyramid
cbq605,Looked up MyPyramid on internet
cbq610,Tried MyPyramid plan
sddsrvyr,Data release cycle
ridstatr,Interview/Examination status
ridageyr,Age in years at screening
ridagemn,Age in months at screening - 0 to 24 mos
ridreth1,Race/Hispanic origin
ridreth3,Race/Hispanic origin w/ NH Asian
ridexagy,Age in years at exam - 2 to 19 years
ridexagm,Age in months at exam - 0 to 19 years
dmqmiliz,Served active duty in US Armed Forces
dmqadfc,Served in a foreign country
dmdborn4,Country of birth
dmdcitzn,Citizenship status
dmdeduc3,Education level - Children/Youth 6-19
dmdeduc2,Education level - Adults 20+
dmdmartl,Marital status
ridexprg,Pregnancy status at exam
aialanga,Language of ACASI Interview
wtint2yr,Full sample 2 year interview weight
wtmec2yr,Full sample 2 year MEC exam weight
sdmvpsu,Masked variance pseudo-PSU
sdmvstra,Masked variance pseudo-stratum
indhhin2,Annual household income
indfmin2,Annual family income
dmdhhsza,# of children 5 years or younger in HH
dmdhhszb,# of children 6-17 years old in HH
dmdhhsze,# of adults 60 years or older in HH
dmdhrgnd,HH ref person's gender
dmdhrage,HH ref person's age in years
dmdhrbr4,HH ref person's country of birth
dmdhredu,HH ref person's education level
dmdhrmar,HH ref person's marital status
dmdhsedu,HH ref person's spouse's education level
diq172,Feel could be at risk for diabetes
diq175a,Family history
diq175b,Overweight
diq175c,Age
diq175d,Poor diet
diq175e,Race
diq175f,Had a baby weighed over 9 lbs. at birth
diq175g,Lack of physical activity
diq175h,High blood pressure
diq175i,High blood sugar
diq175j,High cholesterol
diq175k,Hypoglycemic
diq175l,Extreme hunger
diq175m,Tingling/numbness in hands or feet
diq175n,Blurred vision
diq175o,Increased fatigue
diq175p,Anyone could be at risk
diq175q,Doctor warning
diq175r,"Other, specify"
diq175s,Gestational diabetes
diq175t,Frequent urination
diq175u,Thirst
diq175v,Craving for sweet/eating a lot of sugar
diq175w,Medication
diq275,Past year Dr checked for A1C
diq291,What does Dr say A1C should be
whq030e,How do you consider your child's weight
mcq080e,Your child was overweight
ecq150,Help your child control weight
imq070,Received HPV vaccine
imq080,HPV vaccine received
imq090,Age first dose HPV
mcq075,Degree of Psoriasis
mcq084,Difficulties in thinking or remembering
mcq195,Which type of arthritis was it?
mcq180n,Age when told you had gout.
mcq160m,Ever told you had thyroid problem
mcq170m,Do you still have thyroid problem
mcq180m,Age when told you had thyroid problem
mcq240o,Age lymphoma/Hodgkins'  diagnosed
mcq365a,Doctor told you to lose weight
mcq365b,Doctor told you to exercise
mcq365c,Doctor told you to reduce salt in diet
mcq365d,Doctor told you to reduce fat/calories
mcq370a,Are you now controlling or losing weight
mcq370b,Are you now increasing exercise
mcq370c,Are you now reducing salt in diet
mcq370d,Are you now reducing fat in diet
mcq380,"Past 7 days, had trouble remembering"
paq710,Hours watch TV or videos past 30 days
paq715,Hours use computer past 30 days
smq621,Cigarettes smoked in entire life
smq840,When last used nicotine quit smoking aid
wtsa2yr,Subsample A weights
lbxtt4,"Thyroxine, total (T4) (ug/mL)"
alq160,# days have 4/5 or more drinks in 2 hrs
lbxsapsi,Alkaline phosphatase (IU/L)
lbxsassi,Aspartate aminotransferase AST (IU/L)
lbxsatsi,Alanine aminotransferase ALT (IU/L)
lbxsgl,"Glucose, refrigerated serum (mg/dL)"
lbdsglsi,"Glucose, refrigerated serum (mmol/L)"
lbxsir,"Iron, refrigerated serum (ug/dL)"
lbdsirsi,"Iron, refrigerated serum  (umol/L)"
lbxstr,"Triglycerides, refrigerated (mg/dL)"
lbdstrsi,"Triglycerides, refrigerated  (mmol/L)"
bmdbmic,BMI Category - Children/Youth
cbq596,Heard of My Plate
cbq606,Looked up My Plate on internet
cbq611,Tried My Plate plan
cbq505,Eat at fast food/pizza places
cbq535,Saw nutrition info on fast food menu
cbq540,Used nutrition info to choose fast foods
cbq545,Would use fast food nutrition info
cbq550,Eat at restaurants w/ waiter
cbq552,Is it a chain-restaurant?
cbq580,Saw nutrition info on restaurant menu
cbq585,Used nutrition info in restaurant
cbq590,Would use restaurant nutrition info
diq175x,Polycystic ovarian syndrome
dr1sty,Salt used at table yesterday?
dr1sky,Type of salt used yesterday
dr1tnumf,Number of foods/beverages reported
dr2tnumf,Number of foods/beverages reported
dr2sty,Salt used at table yesterday?
dr2sky,Type of salt used yesterday
agq030,Did SP have episode of hay fever/past yr
mcq151,Age at first menstrual period
mcq160o,Ever told you had COPD?
mcq203,Ever been told you have jaundice?
mcq206,Age when told you have jaundice?
paq610,Number of days vigorous work
paq706,Days physically active at least 60 min.
paq722,Any physical activities past 7 days
paq724a,Physical activity aerobics
paq724b,Physical activity baseball
paq724c,Physical activity basketball
paq724d,Physical activity bike riding
paq724e,Physical activity cheerleading
paq724f,Physical activity dance
paq724g,Physical activity field hockey
paq724h,Physical activity football
paq724i,Physical activity golf
paq724j,Physical activity gymnastics
paq724k,Physical activity hiking
paq724l,Physical activity ice hockey
paq724m,Physical activity ice skating
paq724n,Physical activity jumping rope
paq724o,Physical activity lacrosse
paq724p,Physical activity martial arts
paq724q,Physical activity playing games
paq724r,Physical activity roller blading
paq724s,Physical activity running
paq724t,Physical activity scooter riding
paq724u,Physical activity skateboarding
paq724v,Physical activity soccer
paq724w,Physical activity swimming
paq724x,Physical activity tennis
paq724y,Physical activity track & field
paq724z,Physical activity volleyball
paq724aa,Physical activity walking
paq724ab,Physical activity wrestling
paq724ac,Physical activity frisbee
paq724ad,Physical activity backyard games
paq724ae,Physical activity trampoline
paq724af,Physical activity horseback riding
paq724cm,Physical activity other
paq731,Days played active video games
pad733,Minutes play active video games
paq677,Past wk # days cardiovascular exercise
paq678,Past wk # days strengthened muscles
paq740,Use school facilities at lunch
paq742,Use school facilities for physical activ
paq744,Have PE during school days?
paq746,How often do you have PE or gym?
paq748,How long is the PE or gym class?
paq755,Participate in school sports?
paq759a,Participate in baseball
paq759b,Participate in basketball
paq759c,Participate in bocce ball
paq759d,Participate in cheerleading
paq759e,Participate in football
paq759f,Participate in golf
paq759g,Participate in gymnastics
paq759h,Participate in hockey
paq759i,Participate in lacrosse
paq759j,Participate in soccer
paq759k,Participate in swimming/diving
paq759l,Participate in tennis
paq759m,Participate in track and field
paq759n,Participate in volleyball
paq759o,Participate in wrestling
paq759p,Participate in other specify
paq759q,Participate in dance
paq759r,Participate in frisbee
paq759s,Participate in running
paq759t,Participate in trampoline
paq759u,Participate in martial arts
paq759v,Participate in walking
paq762,Do you have recess during school?
paq764,How often do you have recess?
paq766,How long is the recess period?
paq679,How much exercise for good health
paq750,Enjoy participating in PE or recess
paq770,Receive physical fitness award past yr
paq772a,Fitness award Fitnessgram
paq772b,Fitness award President's Challenge
paq772c,Fitness award other specify
smq078,How soon after waking do you smoke
smd100fl,Cigarette Filter type
smd100mn,Cigarette Menthol indicator
smd100ln,Cigarette Length
smq661,Brand of cigarettes smoked past 30 days
smq665a,Marlboro variety
smq665b,Camel variety
smq665c,Newport variety
smq665d,Other brand
smq848,# times stopped smoking cigarettes
smq852q,How long were you able to stop smoking
smq852u,Unit of measure (day/week/month/year)
smd460,# of people who live here smoke tobacco?
smd470,# of people who smoke inside this home?
smd480,In past week # days person smoked inside
smq681,Smoked tobacco last 5 days?
smq690g,"Used last 5 days - Hookah, water pipes"
smq845,# days smoked water pipe last 5 days
smq690h,Used last 5 days - E-cigarettes
smq849,# days smoked e-cigarette last 5 days
smq851,Used smokeless tobacco last 5 days?
smq800,# days used chewing tobacco last 5 day
smq690i,Used last 5 days - Snus
smq857,# days used snus over last 5 days
smq690j,Used last 5 days - Dissolvables
smq861,# days used dissolvable over last 5 days
smq863,Used nicotine replacement last 5 days?
smdany,Used any tobacco product last 5 days?
smq856,Last 7-d worked at job not at home?
smq858,Last 7-d at job someone smoked indoors?
smq860,Last 7-d spent time in a restaurant?
smq862,Last 7-d at rest someone smoked indoors?
smq866,Last 7-d spent time in a bar?
smq868,Last 7-d in bar someone smoked indoors?
smq870,Last 7-d rode in a car?
smq872,Last 7-d someone smoked in car?
smq874,Last 7-d spent time in another home?
smq876,Last 7-d in home someone smoked indoors?
smq878,Last 7-d in other indoor area?
smq880,Last 7-d in other indoor someone smoked?
whd080u,Had weight loss to lose weight
